printOutputs,datasetName,nElements,nAttributes,nClasses,classesInLine,maxTreeHeigth,alpha,minLeafElements,timeLimit,totalElementos,totalGalhos,totalFolhas,alturaReal,totalErros,totalAcertos,spentTime
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,137.819783
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,300,630,1,2,1,378,252,1062.938369
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,300,630,1,2,1,389,241,1052.054686
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,141.189806
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,585.921045
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,180,630,1,2,1,393,237,592.113953
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,300,100,2,3,2,1,99,102.798583
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,300,100,1,2,1,4,96,10.547999
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,300,100,1,2,1,22,78,7.800229
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",2,0.500000,2,300,100,2,3,2,0,100,32.919602
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",2,0.500000,2,300,200,1,2,1,62,138,1135.356546
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,300,200,3,2,2,22,178,197.371976
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,300,200,5,4,3,0,200,1100.668740
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,300,1000,1,1,1,467,533,1117.998223
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.100000,2,600,1000,1,1,1,467,533,2264.512954
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,600,1000,1,1,1,467,533,2155.889467
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,600,1000,1,2,1,270,730,2187.677487
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,600
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,1200
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,1200,1000,1,2,1,185,815,3779.379795
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.990000,2,300,1000,1,2,1,107,893,486.859557
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.990000,2,600,1000,1,2,1,107,893,487.605169
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.990000,2,600
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.500000,2,600,1000,1,1,1,467,533,2144.179417
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,3.000000,2,600,1000,5,4,3,308,692,1601.358941
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,3.000000,2,600,1000,1,2,1,247,753,488.215443
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,6.000000,2,600,1000,1,2,1,57,943,291.507041
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,600,1000,1,2,1,465,535,1897.358737
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,5.000000,2,600
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,360,630,1,2,1,378,252,1133.407569
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.050000,2,180,630,3,3,3,253,377,530.474720
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.005000,2,180,630,2,3,2,253,377,524.490392
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.005000,2,180,630,12,13,4,3,627,566.263955
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,646.725485
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,1800,1000,1,2,1,185,815,3759.676275
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.500000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,1.000000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.005000,2,1800
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,600,1000,1,2,1,465,535,2178.569501
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.005000,2,1800,1000,1,1,1,467,533,6104.982166
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,28800,1000,1,2,1,185,815,3765.786624
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,180.723458
1,DropoutAcademicSuccess100.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,180,100,1,2,1,4,96,11.392417
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,376.761986
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,138.294263
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,2,180,630,1,2,1,378,252,626.725027
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,360,630,2,3,2,252,378,1229.284807
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.500000,2,360,200,1,2,1,23,177,442.387976
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,139.660861
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.300000,2,360,630,1,2,1,378,252,1293.517161
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",5,0.300000,2,360,630,1,2,1,379,251,1300.611049
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,2,360,630,2,3,2,252,378,1235.940365
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,2,360,200,1,2,1,95,105,1354.336263
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,2,900,200,1,2,1,95,105,3403.618616
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,900,200,13,11,4,2,198,3383.818680
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,1800,200,1,2,1,62,138,6796.988938
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.005000,2,1800
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",8,0.005000,2,32000
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,139.438921
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,360,200,13,11,4,2,198,1102.622036
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,2,360,200,1,2,1,95,105,1241.739835
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.005000,2,360,200,7,5,3,86,114,1319.004722
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.000500,2,360,200,4,4,3,98,102,1267.274821
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,360,200,1,2,1,62,138,1326.524387
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,360,200,13,11,4,2,198,1315.911180
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,360,1000,1,2,1,465,535,1283.535775
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.050000,2,360
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.005000,2,900
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.050000,2,900
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,146.157107
0,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,360,200,13,11,4,2,198,1312.647980
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,2,360,1000,1,2,1,465,535,1331.020653
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,360,1000,1,2,1,465,535,1320.981737
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,2,900,1000,1,2,1,465,535,2574.320369
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.000500,2,360
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.000500,2,900
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.000500,2,6000,1000,14,10,4,441,559,19320.530560
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.000050,2,9000,1000,1,1,1,467,533,34179.778998
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",5,0.000050,2,9000,1000,1,2,1,465,535,30956.046435
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,9000
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,9000
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,9000
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,60
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,120
1,DropoutAcademicSuccess1000.csv,-1,36,3,"Dropout,Graduate,Enrolled",6,0.000050,2,360
1,IrisTreino.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,180,45,2,3,2,1,44,2.608730
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.050000,2,180,200,1,2,1,95,105,485.719410
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",2,0.000000,2,180,200,3,4,2,26,174,484.179286
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.000000,0,600,200,7,8,3,0,200,60.594844
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.000000,0,600,200,7,8,3,0,200,60.513210
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",3,0.000000,0,600,200,7,8,3,0,200,55.199756
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,181.567261
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,143.674882
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,139.683302
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,142.394162
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,1,2,1,99,101,422.456938
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.005000,0,300,200,13,9,4,0,200,849.314421
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,180,200,1,2,1,99,101,436.834500
1,DropoutAcademicSuccess200.csv,-1,36,3,"Dropout,Graduate,Enrolled",4,0.050000,0,300,200,1,2,1,99,101,581.307183
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,0,180,630,15,16,4,4,626,475.926106
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,437.603671
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,429.930095
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,598.950328
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,606.629501
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,598.829513
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,609.501301
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,607.308060
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,577.612462
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,459.726625
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,628.207107
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,631.220435
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,627.567072
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,0,2,125,505,632.550737
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,0,0,0,125,505,624.566796
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,612.430707
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,613.154495
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,525.316710
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,590.534322
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,142.662003
1,Iris.csv,-1,4,3,"Iris-setosa,Iris-versicolor,Iris-virginica",2,0.300000,2,120,150,2,3,2,6,144,140.644622
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,495.447860
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,588.613730
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,569.327175
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,0,180,630,15,16,4,4,626,506.410578
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",4,0.500000,0,180
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,461.228076
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,378.349552
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,370.164404
1,SaYoPillow.csv,-1,8,5,"0,1,2,3,4",3,0.500000,0,180,630,4,5,3,125,505,417.033992
